2020-08-12 10:23:18,037 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [YellowTomatoesGeneratorTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-12 10:23:18,040 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [YellowTomatoesGeneratorTest]: YellowTomatoesGeneratorTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-12 10:23:18,373 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration YellowTomatoesSystemApplication for test class YellowTomatoesGeneratorTest
2020-08-12 10:23:18,607 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-12 10:23:18,651 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@10feca44, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3fb1549b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@ea6147e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4d02f94e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2b48a640, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1e683a3e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2053d869, org.springframework.test.context.event.EventPublishingTestExecutionListener@7a419da4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14555e0a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4bb33f74, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@759d26fb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3c73951, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d5c822d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6f46426d]
2020-08-12 10:23:19,805 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] StartupInfoLogger.java:55 - Starting YellowTomatoesGeneratorTest on DESKTOP-12K8J29 with PID 86412 (started by shang in C:\Users\shang\IdeaProjects\yellow-tomatoes\yellow-tomatoes-system)
2020-08-12 10:23:19,817 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] SpringApplication.java:655 - The following profiles are active: dev
2020-08-12 10:23:21,869 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - Skipping MapperFactoryBean with name 'sysUserMapper' and 'SysUserMapper' mapperInterface. Bean already defined with the same name!
2020-08-12 10:23:21,874 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[com.scd.yellowtomatoes]' package. Please check your configuration.
2020-08-12 10:23:22,737 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
